Authors,Year,Title,Source_Title,Key_Variable,Role_in_Model,Operationalization_Key_Variable,Secondary_Variable,Operationalization_Secondary_Variable,Study_Type,Country,Focal_Group,Tradition,Meta_Narrative
"Blom, R",2020,"Mixed Feelings? Comparing the Effects of Perceived Red Tape and Job Goal Clarity on Hrm Satisfaction And Organizational Commitment Across Central Government, Government Agencies, And Businesses",Public Personnel Management,Red tape,DV,Survey,Sector,Survey,Quantitative,Netherlands,Government - Managers or administrative workers,Red Tape,Administrative Performance
"Borst, RT; Kruyen, PM; Lako, CJ; de Vries, MS",2020,"The Attitudinal, Behavioral, and Performance Outcomes of Work Engagement: A Comparative Meta-Analysis Across the Public, Semipublic, And Private Sector",Review of Public Personnel Administration,Red tape,IV,Meta-analysis,Work engagement,Meta-analysis,Meta-Analysis,Multi,Government - Managers or administrative workers,Red Tape,Behavioral Impact
"Bozeman, B; Youtie, J",2020,Robotic Bureaucracy: Administrative Burden and Red Tape in University Research,Public Administration Review,Administrative burden,DV,Case study/Examples,Level of burden,NA,Theoretical,USA,Private/Non-Profit/Other,Administrative Burden,Burden Genesis
"Campbell, JW",2020,"Red Tape, Rule Burden, and Legitimate Performance Trade-Offs: Results From A Vignette Experiment",Public Performance & Management Review,Red tape,DV,Survey,Performance tradeoffs,Experiment - vignette,Quantitative,South Korea,Citizens - Generic,Red Tape,Rule Quality
"Carey, G; Dickinson, H; Malbon, E; Weier, M; Duff, G",2020,Burdensome Administration and Its Risks: Competing Logics in Policy Implementation,Administration & Society,Administrative burden,IV,Interviews,Program participation,Interviews,Qualitative,Australia,Private/Non-Profit/Other,Administrative Burden,Access Burden
"Christensen, J; Aaroe, L; Baekgaard, M; Herd, P; Moynihan, DP",2020,Human Capital and Administrative Burden: the Role of Cognitive Resources in Citizen-State Interactions,Public Administration Review,Administrative burden,DV,Case study/Examples,Program participation,NA,Theoretical,None,Citizens - Less advantaged,Administrative Burden,Burden Genesis
"Chudnovsky, M; Peeters, R",2020,A Cascade of Exclusion: Administrative Burdens and Access To Citizenship in the Case Of Argentina's National Identity Document,International Review of Administrative Sciences,Administrative burden,MedV,Interviews,NA,Interviews,Quantitative,Argentina,Citizens - Less advantaged,Administrative Burden,Access Burden
"Connolly, JM; Klofstad, C; Uscinski, J",2020,Administrative Burdens and Citizen Likelihood To Seek Local Public Services: the Case of Hurricane Shelters,Public Performance & Management Review,Administrative burden,IV,Experiment,Willingness to evacuate to shelter following hurricane,Survey,Quantitative,USA,Citizens - Less advantaged,Administrative Burden,Access Burden
"Daigneault, PM; Mace, C",2020,"Program Awareness, Administrative Burden, and Non-Take-Up of Quebec's Supplement To the Work Premium",International Journal of Public Administration,Administrative burden,IV,Interviews,Program participation,Interviews,Qualitative,Canada,Citizens - Less advantaged,Administrative Burden,Access Burden
"de Geus, CJC; Ingrams, A; Tummers, L; Pandey, SK",2020,Organizational Citizenship Behavior in the Public Sector: A Systematic Literature Review and Future Research Agenda,Public Administration Review,Red tape,IV,Case study/Examples,OCB,NA,Review,Multi,Government - Managers or administrative workers,Red Tape,Behavioral Impact
"Fleming, CJ",2020,"Prosocial Rule Breaking At the Street Level: The Roles of Leaders, Peers, and Bureaucracy",Public Management Review,Red tape - rule consistency,IV,Survey,Pro-social rule breaking,Survey,Quantitative,USA,Government - Street-level bureaucrats,Red Tape,Behavioral Impact
"Fox, AM; Feng, WH; Stazyk, EC",2020,Administrative Easing: Rule Reduction and Medicaid Enrollment,Public Administration Review,Administrative burden,IV,Administrative data,Enrollment in Medicaid,Administrative data,Quantitative,USA,Government - Managers or administrative workers,Administrative Burden,Access Burden
"Fredriksson, A",2020,One Stop Shops For Public Services: Evidence From Citizen Service Centers in Brazil,Journal of Policy Analysis and Management,Red tape,IV,Administrative data,"Time for completing standardized task (related here to driver's licences)
""social quality of the licencing procedure""",Administrative data,Quantitative,Brazil,Government - Managers or administrative workers,Red Tape,Administrative Performance
"Giacomelli, G; Vainieri, M; Garzi, R; Zamaro, N",2020,Organizational Commitment Across Different Institutional Settings: How Perceived Procedural Constraints Frustrate Self-Sacrifice,International Review of Administrative Sciences,Red tape - procedural constraints,IV,Survey,Organizational commitment,Survey,Mixed Methods,Italy,Private/Non-Profit/Other,Red Tape,Behavioral Impact
"Hattke, F; Hensel, D; Kalucza, J",2020,Emotional Responses To Bureaucratic Red Tape,Public Administration Review,Red tape,IV,Experiment,Emotional response,Physiological measurements,Quantitative,Germany,Citizens - Generic,Red Tape,Behavioral Impact
"Henderson, AC; Borry, EL",2020,"The Emotional Burdens of Public Service: Rules, Trust, and Emotional Labour in Emergency Medical Services",Public Money & Management,Red tape,IV,Survey,Emotional labor,Survey,Quantitative,USA,Government - Street-level bureaucrats,Red Tape,Behavioral Impact
"Herd, P; & Moynihan, DP",2020,How Administrative Burdens Can Harm Health,Health Affairs,Administrative burden,IV,Case study/Examples,Health outcomes,Examples,Case Study,USA,Citizens - Less advantaged,Administrative Burden,Access Burden
"Herd, P; & Moynihan, DP",2020,Administrative Burdens in Health Policy,Journal of Health and Human Services Administration,Administrative burden,IV,Case study/Examples,Access to health care,Examples,Case Study,USA,Citizens - Less advantaged,Administrative Burden,Access Burden
"Hong, S",2020,"Performance Management Meets Red Tape: Bounded Rationality, Negativity Bias, and Resource Dependence",Public Administration Review,Red tape,DV,Administrative data,Prior performance and fiscal dependence,Administrative data,Quantitative,South Korea,Government - Managers or administrative workers,Red Tape,Administrative Performance
"Kaufmann, W; Ingrams, A; Jacobs, D",2020,Rationale and Process Transparency Do Not Reduce Perceived Red Tape: Evidence From A Survey Experiment,International Review of Administrative Sciences,Red tape,DV,Survey,Transparency,Experimental vignette,Quantitative,USA,Citizens - Generic,Red Tape,Rule Quality
"Keiser, LR; Miller, SM",2020,Does Administrative Burden Influence Public Support For Government Programs? Evidence From A Survey Experiment,Public Administration Review,Administrative burden,IV,Experiment,Policy support,Survey,Quantitative,USA,Citizens - Generic,Administrative Burden,Burden Genesis
"Linos, E; Quan, LT; Kirkman, E",2020,Nudging Early Reduces Administrative Burden: Three Field Experiments To Improve Code Enforcement,Journal of Policy Analysis and Management,Administrative burden,IV,Experiment,Compliance with regulation,Administrative data,Quantitative,USA,Citizens - Generic,Administrative Burden,Access Burden
"Linos, E; Riesch, N",2020,Thick Red Tape and the Thin Blue Line: A Field Study on Reducing Administrative Burden in Police Recruitment,Public Administration Review,Administrative burden,IV,Experiment,Being hired or staying in the hiring process,Administrative data,Quantitative,USA,Citizens - Generic,Administrative Burden,Access Burden
"Migchelbrink, K; van de Walle, S",2020,Increasing the Cost of Participation: Red Tape and Public Officials' Attitudes Toward Public Participation,International Review of Administrative Sciences,Red tape,IV,Survey,Attitudes towards public participation,Survey,Quantitative,Belgium,Government - Managers or administrative workers,Red Tape,Administrative Performance
"Moon, MJ; Kim, J; Jung, S; Cho, B",2020,"What Makes Administrative and Hierarchical Procedures More Burdensome? Effects of Degree Of Procedures, Outcome Favorability, And Confucian Values on Red Tape Perception",Public Performance & Management Review,Red tape,DV,Survey,"Organizational factors, outcome favoribility, and Confucian values",Experiment - vignette,Quantitative,South Korea,Government - Managers or administrative workers,Red Tape,Rule Quality
"Oh, Y; Lee, K",2020,External Control Mechanisms and Red Tape: Testing the Roles of External Audit And Evaluation on Red Tape in Quasi-Governmental Organizations,International Review of Administrative Sciences,Red tape,DV,Survey,External control,Survey,Quantitative,South Korea,Government - Managers or administrative workers,Red Tape,Rule Quality
"Olsen, AL; Kyhse-Andersen, JH; Moynihan, D",2020,The Unequal Distribution of Opportunity: A National Audit Study Of Bureaucratic Discrimination in Primary School Access,American Journal of Political Science,Administrative burden,DV,Administrative data,Outgroup membership,Experiment - field survey,Quantitative,Denmark,Government - Street-level bureaucrats,Administrative Burden,Burden Genesis
"Peeters, R",2020,The Political Economy of Administrative Burdens: A Theoretical Framework For Analyzing the Organizational Origins Of Administrative Burdens,Administration & Society,Administrative burden,DV,Case study/Examples,Intentionality and formality,NA,Review,Multi,Government - Managers or administrative workers,Administrative Burden,Burden Genesis
"Peretz, HV",2020,A View Into Managers' Subjective Experiences of Public Service Motivation and Work Engagement: A Qualitative Study,Public Management Review,Red tape,IV,Interviews,Public service motivaiton,Interviews,Quantitative,USA,Government - Managers or administrative workers,Red Tape,Behavioral Impact
"Piatak, J; Mohr, Z; McDonald, J",2020,"Rule Formalization, Gender, and Gender Congruence: Examining Prosocial Rule Breaking For Internal And External Stakeholders",International Public Management Journal,Red tape - rule formalization,IV,Experiment,Rule breaking,Survey,Quantitative,USA,Government - Managers or administrative workers,Red Tape,Behavioral Impact
"Sharma, A; Gautam, H; Chaudhary, R",2020,Red Tape and Ambidexterity in Government Units,International Journal of Public Administration,Red tape,IV,Survey,Ambidexterity,Survey,Quantitative,Nepal,Government - Managers or administrative workers,Red Tape,Administrative Performance
"Sievert, M; Vogel, D; Feeney, MK",2020,Formalization and Administrative Burden As Obstacles To Employee Recruitment: Consequences For the Public Sector,Review of Public Personnel Administration,Administrative burden,IV,Experiment,Intention to apply for a job,Survey,Quantitative,USA,Citizens - Generic,Administrative Burden,Access Burden
"Stanica, CM; Balica, D; Henderson, AC; Ticlau, TC",2020,The Weight of Service Delivery: Administrative and Rules Burdens in Street-Level Bureaucracy,International Review of Administrative Sciences,Administrative burden,DV,Survey,Mixed organizational and psychological,Survey,Quantitative,Romania,Government - Street-level bureaucrats,Administrative Burden,Burden Genesis
"Thomsen, MK; Baekgaard, M; Jensen, UT",2020,The Psychological Costs of Citizen Coproduction,Journal of Public Administration Research and Theory,Administrative burden - psychological costs,DV,Survey,Public vs private benefits and self-efficacy,Experiment - vignette,Quantitative,Denmark,Citizens - Generic,Administrative Burden,Access Burden
"Vento, I; Kuokkanen, K",2020,Mapping the Post-Bureaucratic Landscape: Project Managers' Perception of Bureaucracy in European Union Cohesion Policy Projects,International Review of Administrative Sciences,Red tape,DV,Survey,Institutional background and share of administrative tasks,Survey,Quantitative,Finland,Government - Managers or administrative workers,Red Tape,Rule Quality
"Aaroe, L; Baekgaard, M; Christensen, J; Moynihan, DP",2021,Personality and Public Administration: Policymaker Tolerance of Administrative Burdens in Welfare Services,Public Administration Review,Administrative burden,DV,Survey,Big 5 personality,Survey,Quantitative,Denmark,Political actors,Administrative Burden,Burden Genesis
"Baekgaard, M; Mikkelsen, KS; Madsen, JK; & Christensen, J",2021,Reducing Compliance Demands in Government Benefit Programs Improves the Psychological Well-Being of Target Group Members,Journal of Public Administration Research and Theory,Administrative burden,IV,Experiment,Psychological costs,Survey,Quantitative,Denmark,Citizens - Less advantaged,Administrative Burden,Access Burden
"Baekgaard, M; Moynihan, DP; Thomsen, MK",2021,"Why Do Policymakers Support Administrative Burdens? the Roles of Deservingness, Political Ideology, and Personal Experience",Journal of Public Administration Research and Theory,Administrative burden,DV,Survey,"Ideology, personal experience, deservingness, psychological burden",Experiment - vignette,Quantitative,Denmark,Political actors,Administrative Burden,Burden Genesis
"Barnes, CY",2021,It Takes A While To Get Used To: the Costs of Redeeming Public Benefits,Journal of Public Administration Research and Theory,Administrative burden,IV,Interviews,Redeeming a voucher,Interviews,Qualitative,USA,Citizens - Less advantaged,Administrative Burden,Access Burden
"Bell, E; Smith, K",2021,Working Within A System of Administrative Burden: How Street-Level Bureaucrats' Role Perceptions Shape Access To the Promise Of Higher Education,Administration & Society,Administrative burden,DV,Survey,Role perceptions of SLBs; proportion of income-eligible clients,Survey and administrative data,Quantitative,USA,Government - Street-level bureaucrats,Administrative Burden,Burden Genesis
"Bell, E; Ter-Mkrtchyan, A; Wehde, W; Smith, K",2021,Just Or Unjust? How Ideological Beliefs Shape Street-Level Bureaucrats' Perceptions of Administrative Burden,Public Administration Review,Administrative burden,IV,Survey,Political ideology,Survey,Mixed Methods,USA,Government - Street-level bureaucrats,Administrative Burden,Burden Genesis
"Blom, R; Borst, RT; Voorn, B",2021,Pathology Or Inconvenience? A Meta-Analysis of the Impact Of Red Tape on People and Organizations,Review of Public Personnel Administration,Red tape,IV,Meta-analysis,Organizational performance; employee outcomes,Meta-analysis,Meta-Analysis,Multi,Government - Managers or administrative workers,Red Tape,Administrative Performance
"Bozeman, B; Youtie, J; Jung, J",2021,Death By A Thousand 10-Minute Tasks: Workarounds and Noncompliance in University Research Administration,Administration & Society,Administrative burden,IV,Interviews,Rule response,Interviews,Qualitative,USA,Private/Non-Profit/Other,Administrative Burden,Access Burden
"Cepiku, D; Mastrodascio, M",2021,Equity in Public Services: A Systematic Literature Review,Public Administration Review,Administrative burden,IV,Text,Equity,NA,Review,None,Citizens - Less advantaged,Administrative Burden,Access Burden
"Chudnovsky, M; Peeters, R",2021,The Unequal Distribution of Administrative Burden: A Framework and An Illustrative Case Study For Understanding Variation in People's Experience Of Burdens,Social Policy & Administration,Administrative burden,IV,Survey,Program take up,Survey,Quantitative,Argentina,Citizens - Less advantaged,Administrative Burden,Burden Genesis
"Doring, M",2021,How-To Bureaucracy: A Concept of Citizens' Administrative Literacy,Administration & Society,Administrative burden,DV,Case study/Examples,Citizen administrative literacy,NA,Theoretical,None,Citizens - Less advantaged,Administrative Burden,Burden Genesis
"George, B; Steijn, B; Pandey, SK; Decramer, A; Audenaert, M",2021,"Red Tape, Organizational Performance, and Employee Outcomes: Meta-Analysis, Meta-Regression, And Research Agenda",Public Administration Review,Red tape,IV,Meta-analysis,NA,Meta-analysis,Meta-Analysis,Multi,Government - Managers or administrative workers,Red Tape,Administrative Performance
"Hassan, HA; Zhang, XD; Ahmad, AB",2021,Red Tape and Change-Supportive Intention: An Extension of the Theory Of Planned Behavior,Leadership & Organization Development Journal,Red tape,IV,Survey,Change supportive intention,Survey,Quantitative,Iraq,Government - Managers or administrative workers,Red Tape,Behavioral Impact
"Heinrich, CJ; Camacho, S; Henderson, SC; Hernández, M; & Joshi, E",2021,Consequences of Administrative Burden For Social Safety Nets That Support the Healthy Development Of Children,Journal of Policy Analysis and Management,Administrative burden,IV,Interviews,Experience of burden,Interview data,Mixed Methods,USA,Citizens - Less advantaged,Administrative Burden,Access Burden
"Kaufmann, W; Haans, RFJ",2021,Understanding the Meaning of Concepts Across Domains Through Collocation Analysis: An Application To The Study Of Red Tape,Journal of Public Administration Research and Theory,Red tape,DV,Text,Source,Source of data,Quantitative,USA,Private/Non-Profit/Other,Red Tape,Rule Quality
"Kaufmann, W; Ingrams, A; Jacobs, D",2021,Being Consistent Matters: Experimental Evidence on the Effect of Rule Consistency On Citizen Red Tape,American Review of Public Administration,Red tape,DV,Survey,"Rule consistency
Outcome favorability",Experiment - survey,Quantitative,USA,Citizens - Generic,Red Tape,Rule Quality
"Kroll, A; Vogel, D",2021,"Why Public Employees Manipulate Performance Data: Prosocial Impact, Job Stress, and Red Tape",International Public Management Journal,Red tape,IV,Survey,Performance data manipulation,Survey,Quantitative,USA,Government - Managers or administrative workers,Red Tape,Behavioral Impact
"Larsson, KK",2021,"Digitization Or Equality: When Government Automation Covers Some, But Not All Citizens",Government Information Quarterly,Administrative burden,IV,Administrative data,Automated awarding of childcare benefit,Administrative data,Quantitative,Norway,Citizens - Less advantaged,Administrative Burden,Access Burden
"Mack, G; Ritzel, C; Heitkamper, K; El Benni, N",2021,The Effect of Administrative Burden on Farmers' Perceptions Of Cross-Compliance-Based Direct Payment Policy,Public Administration Review,Administrative burden,IV,Survey,Being in the grumpy group,Survey,Quantitative,Switzerland,Citizens - Generic,Administrative Burden,Access Burden
"Madsen, JK; Mikkelsen, KS",2021,How Salient Administrative Burden Affects Job Seekers' Locus of Control and Responsibility Attribution: Evidence From A Survey Experiment,International Public Management Journal,Administrative burden,IV,Experiment,job search locus of control and attribution of unemployment responsibility,Survey,Quantitative,Denmark,Citizens - Less advantaged,Administrative Burden,Access Burden
"Masood, A; Nisar, MA",2021,Administrative Capital and Citizens' Responses To Administrative Burden,Journal of Public Administration Research and Theory,Administrative burden,DV,Ethnography,Securing maternity leave,Ethnography,Qualitative,Pakistan,Citizens - Generic,Administrative Burden,Burden Genesis
"Mussagulova, A",2021,Predictors of Work Engagement: Drawing on Job Demands-Resources Theory and Public Service Motivation,Australian Journal of Public Administration,Red tape,IV,Survey,Work engagement,Survey,Quantitative,Moldova,Government - Managers or administrative workers,Red Tape,Behavioral Impact
"Oberfield, Z",2021,Unionization and Street-Level Bureaucracy: An Examination of Public School Teachers in the United States,Review of Public Personnel Administration,Red tape,DV,Survey,Unionization,Survey,Quantitative,USA,Government - Street-level bureaucrats,Red Tape,Rule Quality
"Pandey, SK",2021,The Psychological Process View of Bureaucratic Red Tape,Research Handbook on HRM in the Public Sector,Red tape,IV,Case study/Examples,Employee experience and well-being,NA,Theoretical,NA,Government - Managers or administrative workers,Red Tape,Behavioral Impact
"Peeters, R; Campos, SA",2021,Taking the Bite Out of Administrative Burdens: How Beneficiaries Of A Mexican Social Program Ease Administrative Burdens in Street-Level Interactions,Governance-An International Journal of Policy Administration and Institutions,Administrative burden,DV,Administrative data,Citizen behavioral and social resources,Interviews,Qualitative,Mexico,Citizens - Less advantaged,Administrative Burden,Burden Genesis
"Resh, WG; Barboza-Wilkes, CJ; Marvel, JD",2021,Procedural Environment of Public Engagement: An Induced Recall Experiment Of Local Government Employees,Public Management Review,Red tape,IV,Survey,Engagement (willingness to use public particiaption),Survey,Quantitative,USA,Government - Managers or administrative workers,Red Tape,Behavioral Impact
"Siverbo, S",2021,The Impact of Management Controls on Public Managers' Well-Being,Financial Accountability & Management,Red tape,IV,Survey,well-being,Survey,Quantitative,Sweden,Government - Managers or administrative workers,Red Tape,Behavioral Impact
"van Veen-Dirks, PMG; Leliveld, MC; Kaufmann, W",2021,The Effect of Enabling Versus Coercive Performance Measurement Systems on Procedural Fairness and Red Tape,Journal of Management Control,Red tape,DV,Survey,Enabling vs controlling managemen systems,Experiment - vignette,Quantitative,USA,Government - Street-level bureaucrats,Red Tape,Rule Quality
"Ahn, YJ; Campbell, JW",2022,"Red Tape, Rule Legitimacy, and Public Service Motivation: Experimental Evidence From Korean Citizens",Administration & Society,Red tape,DV,Survey,Legitimacy and outcome favorability,Experiment - survey,Quantitative,South Korea,Citizens - Generic,Red Tape,Rule Quality
